event_name,event_type,featured,organization_name,organization_url,acronym,tags,event_url,image_url,start_date,end_date,location,region,in_person,virtual,cfp_due_date,language,hash_tag,code_of_conduct_url,price_range,price,cfp_url,start_time,end_time
PyData Global 2021,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/global2021/,,2021-10-28,2021-10-30,Online,Online,No,Yes,,English,,,$0,$0,,leave blank,leave blank
PyCascades 2022,Conference,0,,,,python,https://2022.pycascades.com,,2022-02-05,2022-02-06,Online,Online,No,Yes,,English,,,,,,,
ESMAR,Conference,0,Evidence Synthesis Hackathon,https://www.eshackathon.org,,research,https://esmarconf.github.io/events.html,,2022-02-21,2022-02-24,,,,,,,,,,,,,
PyTexas 2022,Conference,0,,,,python,https://www.pytexas.org,,2022-03-26,2022-03-27,"Austin, TX, USA",Canada / USA,Yes,,,English,,,,,,,
PyCon DE & PyData Berlin 2022,Conference,0,,,,python,https://2022.pycon.de,,2022-04-11,2022-04-13,"Berlin, Germany",Europe,Yes,Yes,,English,,,,,,,
ODSC East 2022,Conference,0,Open Data Science,,,python,https://odsc.com/boston/,,2022-04-19,2022-04-23,"Boston, MA, USA",Canada / USA,Yes,Unknown,,,,,,,,,
ICLR 2022: International Conference on Learning Representations,Conference,0,,,ICLR,,https://iclr.cc/Conferences/2022,,2022-04-25,2022-04-29,Online,Online,No,Yes,,,,,,,,,
Wiki Workshop,Conference,0,Wikimedia,,,,https://wikiworkshop.org/2022/,,2022-04-25,2022-04-25,Online,Online,No,Yes,,,,,,,,,
PyCon US,Conference,0,PSF,,,python,https://us.pycon.org/2022/,,2022-04-27,2022-05-03,"Salt Lake City, UT, USA",Canada / USA,,Yes,,"English, Spanish",,,,,,,
ODSC Europe 2022,Conference,0,Open Data Science,,,,https://odsc.com/europe/,,2022-06-15,2022-06-16,"London, UK",Europe,Yes,,,,,,,,,,
useR! 2022,Conference,0,R Foundation,,,rstats,https://user2022.r-project.org,,2022-06-20,2022-06-23,Online,Online,No,Yes,,,,,,,,,
"ACM Conference on Fairness, Accountability, and Transparency",Conference,0,ACM,,FaaCT,AI ethics,https://facctconference.org,,2022-06-21,2022-06-24,South Korea,Asia,Yes,,,,,,,,,,
ISBA World Meeting,Conference,0,ISBA,https://isbawebmaster.github.io/ISBA2022/,ISBA,,https://isbawebmaster.github.io/ISBA2022/,,2022-06-26,2022-07-01,"Montreal, Quebec, Canada",Canada / USA,Yes,,,,,,,,,,
Wikimania,Conference,0,Wikimedia,,,,https://meta.wikimedia.org/wiki/Celtic_Knot_Conference_2022/Knot_together,,2022-07-01,2022-07-02,Online,Online,No,Yes,,,,,,,,,
PyCon Colombia 2022,Conference,,,,,,https://2022.pycon.co,https://2022.pycon.co/img/tickets/background-intro-tickets-regular.png,2022-07-09,2022-07-10,,Online,No,Yes,,"Spanish, English",,,,,,,
Genetic and Evolutionary Computation Conference,Conference,0,ACM SIGEVO,,GECCO,,https://gecco-2022.sigevo.org/HomePage,,2022-07-09,2022-07-13,"Boston, MA, USA",Canada / USA,Yes,Yes,,,,,,,,,
North American Chapter of the Association for Computational Linguistics,Conference,0,ACL,,NAACL,,https://2022.naacl.org,,2022-07-10,2022-07-15,"Seattle, WA, USA",Canada / USA,Yes,Yes,2022-09-12,,,,,,,,
SciPy,Conference,0,Enthought,,,"python, open source",https://www.scipy2022.scipy.org,,2022-07-11,2022-07-17,"Austin, Texas, USA",Canada / USA,Yes,Unknown,,,,,,,,,
EuroPython 2022,Conference,0,EPS,,,python,https://www.meetup.com/pymc-online-meetup/events/286864711/,,2022-07-11,2022-07-17,"Dublin, Ireland",Europe,Yes,Yes,,,,,,,,,
ICML 2022,Conference,0,,,,"AI, ML, CV",https://icml.cc,,2022-07-17,2022-07-23,"Baltimore, MD, USA",Canada / USA,,,,,,,,,,,
PyData London 2022,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/london2022/,,2022-07-17,2022-07-19,"London, England",Europe,Yes ,Unknown,,,,,,,,,
rstudio:conf 2022,Conference,0,RStudio,,,rstats,https://www.rstudio.com/conference/,,2022-07-25,2022-07-28,Washington DC USA,Canada / USA,Yes ,Yes,,,,,$$$$$,~$2500,,,
JuliaCon 2022,Conference,1,NumFOCUS,https://numfocus.org,,,https://juliacon.org/2022/,,2022-07-27,2022-07-29,Online,Online,,Yes,,,,,,,,,
